0,0,14.8984
0.327644,0,14.8984
0.660911,0.00139618,14.8984
0.994162,0.0455656,14.8984
1.3275,0.131242,14.8984
1.66086,0.268169,14.8984
1.99417,0.694043,14.8984
2.32761,0.951878,14.8984
2.66084,1.22459,14.8984
2.99426,1.81067,14.8984
3.3276,2.10822,14.8984
3.66084,2.69338,14.8984
3.99416,2.97822,14.8984
4.32751,3.52094,14.8984
4.66089,3.78066,14.8984
4.99423,4.03252,14.8984
5.32753,4.5182,14.8984
5.66094,4.75417,14.8984
5.99429,4.98664,14.8984
6.32754,5.44618,14.8984
6.66094,5.67647,14.8984
6.99421,5.90615,14.8984
7.32754,6.36582,14.8984
7.66091,6.59874,14.8984
7.99428,7.06895,14.8984
8.3276,7.30604,14.8984
8.66092,7.54323,14.8984
8.99421,8.02231,14.8984
9.32755,8.26462,14.8984
9.66083,8.74707,14.8984
9.99424,8.98999,14.8984
10.3275,9.23213,14.8984
10.6609,9.71227,14.8984
10.9943,9.9523,14.8984
11.3275,10.4307,14.8984
11.6609,10.6688,14.8984
11.9942,10.9084,14.8984
12.3276,11.3901,14.8984
12.6609,11.6319,14.8984
12.9943,11.8729,14.8984
13.3275,12.3519,14.8984
13.6609,12.592,14.8984
13.9942,13.0691,14.8984
14.3276,13.3083,14.8984
14.6609,13.5402,14.8984
14.9943,13.9558,14.8984
15.3276,14.1236,14.8984
15.6608,14.3995,14.8984
15.9942,14.499,14.8984
16.3276,14.5696,14.8984
16.6609,14.6508,14.8984
16.9943,14.6642,14.8984
17.3275,14.6666,14.8984
17.6609,14.6569,14.8984
17.9943,14.6458,14.8984
18.3276,14.6324,14.8984
18.6609,14.6297,14.8984
18.9943,14.6323,14.8984
19.3276,14.6503,14.8984
19.6609,14.6679,14.8984
19.9942,14.7113,14.8984
20.3276,14.7348,14.8984
20.6609,14.7568,14.8984
20.9943,14.8026,14.8984
21.3276,14.823,14.8984
21.6609,14.8463,14.8984
21.9943,14.8443,14.8984
22.3276,14.8431,14.8984
22.6609,14.8451,14.8984
22.9942,14.8481,14.8984
23.3275,14.855,14.8984
23.661,14.8588,14.8984
23.9943,14.8621,14.8984
24.3276,14.8659,14.8984
24.6609,14.8675,14.8984
24.9942,14.8681,14.8984
25.3276,14.8677,14.8984
25.6609,14.8657,14.8984
25.9942,14.8637,14.8984
26.3276,14.8636,14.8984
