0,0.596781,10,0.132668,10,-34.6154,-174.118
0.291308,0.596781,10,0.132668,10,-34.6154,-174.118
0.391218,0.596781,10,0.132668,10,-34.6154,-174.118
0.491286,0.596781,10,0.132668,10,-34.6154,-174.118
0.591273,0.59943,10,0.133052,10,-34.6177,-174.118
0.69131,0.59943,10,0.133052,10,-34.6177,-174.118
0.791285,0.601109,10,0.133405,10,-35.1204,-174.118
0.891232,0.601109,10,0.133405,10,-35.1204,-174.118
0.991155,0.601305,10,0.132612,10,-39.9628,-174.118
1.09122,0.601305,10,0.132612,10,-39.9628,-174.118
1.19126,0.601305,10,0.132612,10,-39.9628,-174.118
1.29119,0.599364,10,0.132205,10,-49.8227,-174.118
1.39123,0.599364,10,0.132205,10,-49.8227,-174.118
1.49114,0.599274,10,0.133881,10,-62.0109,-174.118
1.59124,0.599274,10,0.133881,10,-62.0109,-174.118
1.69126,0.599274,10,0.133881,10,-62.0109,-174.118
1.79125,0.598136,10,0.134444,10,-73.6953,-174.118
1.89124,0.598136,10,0.134444,10,-73.6953,-174.118
1.99125,0.596667,10,0.133023,10,-83.2919,-174.118
2.09122,0.596667,10,0.133023,10,-83.2919,-174.118
2.19114,0.594783,10,0.131377,10,-90.8851,-174.118
2.29122,0.594783,10,0.131377,10,-90.8851,-174.118
2.39144,0.594783,10,0.131377,10,-90.8851,-174.118
2.4912,0.592806,10,0.129581,10,-97.5671,-174.118
2.59126,0.592806,10,0.129581,10,-97.5671,-174.118
2.69115,0.592747,10,0.129619,10,-104.474,-174.118
2.79126,0.592747,10,0.129619,10,-104.474,-174.118
2.8912,0.592747,10,0.129619,10,-104.474,-174.118
2.99121,0.593318,10,0.128787,10,-112.288,-174.118
3.09125,0.593318,10,0.128787,10,-112.288,-174.118
3.19119,0.594387,10,0.127603,10,-120.846,-174.118
3.29125,0.594387,10,0.127603,10,-120.846,-174.118
3.39114,0.595704,10,0.125909,10,-129.648,-174.118
3.49121,0.595704,10,0.125909,10,-129.648,-174.118
3.59124,0.595704,10,0.125909,10,-129.648,-174.118
3.69123,0.597504,10,0.123352,10,-137.927,-174.118
3.79125,0.597504,10,0.123352,10,-137.927,-174.118
3.89118,0.602983,10,0.123461,10,-144.925,-174.118
3.99127,0.602983,10,0.123461,10,-144.925,-174.118
4.09123,0.602983,10,0.123461,10,-144.925,-174.118
4.19131,0.606753,10,0.1227,10,-150.235,-174.118
4.29125,0.606753,10,0.1227,10,-150.235,-174.118
4.3912,0.608363,10,0.119647,10,-154.146,-174.118
4.49126,0.608363,10,0.119647,10,-154.146,-174.118
4.59115,0.609313,10,0.115479,10,-156.789,-174.118
4.69122,0.609313,10,0.115479,10,-156.789,-174.118
4.79125,0.609313,10,0.115479,10,-156.789,-174.118
4.89119,0.609563,10,0.110299,10,-158.912,-174.118
4.99125,0.609563,10,0.110299,10,-158.912,-174.118
5.09114,0.611762,10,0.107588,10,-160.757,-174.118
5.19126,0.611762,10,0.107588,10,-160.757,-174.118
5.29123,0.611762,10,0.107588,10,-160.757,-174.118
5.39125,0.612735,10,0.103638,10,-162.59,-174.118
5.49122,0.612735,10,0.103638,10,-162.59,-174.118
5.59122,0.612664,10,0.0975545,10,-164.548,-174.118
5.69124,0.612664,10,0.0975545,10,-164.548,-174.118
5.79114,0.611978,10,0.0904647,10,-166.442,-174.118
5.89126,0.611978,10,0.0904647,10,-166.442,-174.118
5.99123,0.611978,10,0.0904647,10,-166.442,-174.118
6.09116,0.610249,10,0.0845482,10,-168.142,-174.118
6.19124,0.610249,10,0.0845482,10,-168.142,-174.118
6.29114,0.610756,10,0.0781583,10,-169.433,-174.118
6.39128,0.610756,10,0.0781583,10,-169.433,-174.118
6.49124,0.610756,10,0.0781583,10,-169.433,-174.118
6.5912,0.610021,10,0.0707288,10,-170.284,-174.118
6.69124,0.610021,10,0.0707288,10,-170.284,-174.118
6.79122,0.61108,10,0.0658648,10,-170.836,-174.118
6.89129,0.61108,10,0.0658648,10,-170.836,-174.118
6.99115,0.629292,10,0.0830901,10,-171.237,-174.118
7.09122,0.629292,10,0.0830901,10,-171.237,-174.118
7.19127,0.629292,10,0.0830901,10,-171.237,-174.118
7.29127,0.678555,10,0.137104,10,-171.699,-174.118
7.39126,0.678555,10,0.137104,10,-171.699,-174.118
7.49114,0.757448,10,0.217944,10,-172.134,-174.118
7.59121,0.757448,10,0.217944,10,-172.134,-174.118
7.69122,0.757448,10,0.217944,10,-172.134,-174.118
7.79126,0.84609,10,0.309951,10,-172.507,-174.118
7.89126,0.84609,10,0.309951,10,-172.507,-174.118
7.99118,0.941542,10,0.410214,10,-172.958,-174.118
8.09124,0.941542,10,0.410214,10,-172.958,-174.118
8.1912,0.941542,10,0.410214,10,-172.958,-174.118
8.29125,1.04608,10,0.520206,10,-173.367,-174.118
8.39123,1.04608,10,0.520206,10,-173.367,-174.118
8.49125,1.15777,10,0.638328,10,-173.671,-174.118
8.59126,1.15777,10,0.638328,10,-173.671,-174.118
8.69114,1.27486,10,0.758025,10,-173.863,-174.118
8.79129,1.27486,10,0.758025,10,-173.863,-174.118
8.89126,1.27486,10,0.758025,10,-173.863,-174.118
8.99123,1.3928,10,0.879148,10,-173.999,-174.118
9.09126,1.3928,10,0.879148,10,-173.999,-174.118
9.19125,1.50888,10,0.998415,10,-174.094,-174.118
9.29127,1.50888,10,0.998415,10,-174.094,-174.118
9.39115,1.62164,10,1.11766,10,-174.169,-174.118
9.4912,1.62164,10,1.11766,10,-174.169,-174.118
9.59127,1.62164,10,1.11766,10,-174.169,-174.118
