0,0.0117931,5,0.771074,0
0.660465,0.0117931,5,0.771074,0
0.993735,0.0117378,5,0.755721,0
1.32705,0.0192771,5,0.537733,0
1.66033,0.152105,5,-9.61467,0
1.99372,0.277359,5,-13.8531,0
2.32693,0.568383,5,-12.2913,0
2.66038,0.7095,5,-9.02044,0
2.99367,0.812948,5,-5.27642,0
3.327,0.915346,5,0.134304,0
3.66039,0.945681,5,1.1188,0
3.99366,0.960096,5,1.0524,0
4.32701,0.971266,5,0.612873,0
4.66039,1.02248,5,0.046416,0
4.99373,1.22381,5,-0.785046,0
5.32699,1.34448,5,-0.788681,0
5.66039,1.48087,5,-0.557263,0
5.99372,1.79203,5,-0.0333078,0
6.32704,1.95531,5,0.183174,0
6.66033,2.28964,5,0.365974,0
6.99367,2.45683,5,0.321727,0
7.32702,2.62163,5,0.22376,0
7.66031,2.94293,5,-0.105048,0
7.99368,3.09833,5,-0.233884,0
8.32694,3.39801,5,-0.252033,0
8.66037,3.54384,5,-0.215078,0
8.99372,3.68709,5,-0.167744,0
9.32705,3.97059,5,-0.110085,0
9.66038,4.11065,5,-0.0669769,0
9.99364,4.38753,5,-0.0167483,0
9.99364,4.38753,5,-0.0167483,0
10.3269,4.51503,5,-0.0167483,0
10.6602,4.63089,5,-0.0167483,0
10.9936,4.82211,5,-0.0167483,0
11.3269,4.95308,5,-0.0167483,0
12.327,4.94007,5,-0.0167483,0
12.6603,4.89562,5,-0.0167483,0
12.9937,4.86733,5,-0.0167483,0
13.327,4.83708,5,-0.0167483,0
13.6604,4.78217,5,-0.0167483,0
13.9937,4.76085,5,-0.0167483,0
14.3269,4.72993,5,-0.0167483,0
14.6603,4.72115,5,-0.0167483,0
14.9937,4.71744,5,-0.0167483,0
15.327,4.71729,5,-0.0167483,0
15.6603,4.71836,5,-0.0167483,0
15.9936,4.72669,5,-0.0167483,0
16.327,4.73248,5,-0.0167483,0
16.6604,4.73816,5,-0.0167483,0
16.9937,4.74437,5,-0.0167483,0
